"security_id","symbol","name","series","tick_size","lot_size","instrument_type","segment","exchange","upper_limit","lower_limit","expiry_date","strike_price","freeze_quantity"
"8182","MOMOMENTUM","MOTILALAMC - MOMOMENTUM","EQ","1.0000","1","ETF","E","NSE","91.4000","60.9300","","","436380"
"10676","MNC","KOTAKMAMC - KOTAKMNC","EQ","1.0000","1","ETF","E","NSE","39.5800","26.3900","","","255237"
"10690","NIFTYQLITY","BIRLASLAMC - NIFTYQLITY","EQ","1.0000","1","ETF","E","NSE","28.6000","19.0700","","","698151"
"10693","MOMENTUM","BIRLASLAMC - MOMENTUM","EQ","1.0000","1","ETF","E","NSE","45.6200","30.4100","","","602127"
"10723","INFRAIETF","ICICIPRAMC - ICICIINFRA","EQ","1.0000","1","ETF","E","NSE","117.5700","78.3800","","","408946"
"543572","SILVERADD","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","105.3000","70.2000","","","-1"
"10761","SILVERADD","DSPAMC - DSPSILVETF","EQ","1.0000","1","ETF","E","NSE","105.3000","70.2000","","","863195"
"10822","MOQUALITY","MOTILALAMC - MOQUALITY","EQ","1.0000","1","ETF","E","NSE","260.4700","173.6400","","","28626"
"10825","MOVALUE","MOTILALAMC - MOVALUE","EQ","1.0000","1","ETF","E","NSE","133.2800","88.8500","","","409307"
"11037","BANKIETF","ICICI Prudential Banking ETF","EQ","1.0000","1","ETF","E","NSE","64.6500","43.1000","","","1817271"
"22365","ITIETF","ICICI Prudential IT ETF","EQ","1.0000","1","ETF","E","NSE","53.7300","35.8200","","","2232050"
"10876","HDFCSILVER","HDFCAMC - HDFCSILVER","EQ","1.0000","1","ETF","E","NSE","104.9800","69.9900","","","1127362"
"543592","HDFCSILVER","HDFC Mutual Fund","E","1.0000","1","ETF","E","BSE","104.9800","69.9900","","","-1"
"11193","AXISILVER","AXISAMC - AXISILVER","EQ","1.0000","1","ETF","E","NSE","108.7300","72.4800","","","486471"
"11241","HDFCGROWTH","HDFCAMC - HDFCGROWTH","EQ","1.0000","1","ETF","E","NSE","157.3800","104.9200","","","29556"
"11260","HDFCVALUE","HDFCAMC - HDFCVALUE","EQ","1.0000","1","ETF","E","NSE","178.4100","118.9400","","","75411"
"11255","HDFCQUAL","HDFCAMC - HDFCQUAL","EQ","1.0000","1","ETF","E","NSE","76.4700","50.9800","","","75595"
"12578","FINIETF","ICICIPRAMC-ICICIFIN","EQ","1.0000","1","ETF","E","NSE","33.8600","22.5700","","","1097546"
"13082","SILVER1","KOTAKMAMC - KOTAKSILVE","EQ","1.0000","1","ETF","E","NSE","106.0500","70.7000","","","1119813"
"13139","EBBETF0433","EDELAMC - EBBETF0433","EQ","1.0000","1","ETF","E","NSE","1397.1300","931.4200","","","86148"
"13143","GSEC10IETF","ICICIPRAMC - ICICI10GS","EQ","1.0000","1","ETF","E","NSE","287.7000","191.8000","","","417148"
"13198","COMMOIETF","ICICIPRAMC - ICICICOMMO","EQ","1.0000","1","ETF","E","NSE","118.7000","79.1300","","","144392"
"13644","BANKETFADD","DSPAMC - DSPBANKETF","EQ","1.0000","1","ETF","E","NSE","64.4700","42.9800","","","1822116"
"13950","LIQUID1","KOTAKMAMC - KOTAKLIQ","EQ","1.0000","1","ETF","E","NSE","1213.1200","808.7500","","","98999"
"14230","HDFCBSE500","HDFCAMC - HDFCBSE500","EQ","1.0000","1","ETF","E","NSE","46.5000","31.0000","","","122897"
"14233","HDFCSML250","HDFCAMC - HDFCSML250","EQ","1.0000","1","ETF","E","NSE","221.7800","147.8500","","","537618"
"14286","GOLDETF","MIRAEAMC - MAGOLDETF","EQ","1.0000","1","ETF","E","NSE","89.1000","59.4000","","","1347113"
"543781","GOLDETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","89.1000","59.4000","","","-1"
"14518","ABSLLIQUID","BIRLASLAMC - ABSLLIQUID","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","13878"
"14584","PSUBNKIETF","ICICIPRAMC - PSUBANKICI","EQ","1.0000","1","ETF","E","NSE","81.8400","54.5600","","","391954"
"14742","AXSENSEX","AXISAMC - AXSENSEX","EQ","1.0000","1","ETF","E","NSE","102.8100","68.5400","","","513396"
"14786","LOWVOL","MIRAEAMC - MANV30F","EQ","1.0000","1","ETF","E","NSE","260.5200","173.6800","","","17763"
"14938","GSEC10YEAR","MIRAEAMC - MAGS813ETF","EQ","1.0000","1","ETF","E","NSE","32.6500","21.7600","","","1035383"
"15085","SILVERETF","UTIAMC - SILVERETF","EQ","1.0000","1","ETF","E","NSE","106.2700","70.8400","","","459533"
"543900","SILVERETF","UTI Mutual Fund","E","1.0000","1","ETF","E","BSE","106.2700","70.8400","","","-1"
"15356","GOLDETFADD","DSPAMC - DSPGOLDETF","EQ","1.0000","1","ETF","E","NSE","89.0000","59.3300","","","1348361"
"543903","GOLDETFADD","DSP Mutual Fund","E","1.0000","1","ETF","E","BSE","89.0000","59.3300","","","-1"
"16777","SILVRETF","MIRAEAMC - MASILVER","EQ","1.0000","1","ETF","E","NSE","106.5400","71.0300","","","309114"
"543922","SILVRETF","Mirae Asset Mutual Fund","E","1.0000","1","ETF","E","BSE","106.5400","71.0300","","","-1"
"17207","ITETFADD","DSPAMC - DSPITETF","EQ","1.0000","1","ETF","E","NSE","51.2100","34.1400","","","320291"
"17419","BANKETF","MIRAEAMC - BANKETF","EQ","1.0000","1","ETF","E","NSE","641.0200","427.3500","","","82016"
"17572","LIQUID","MIRAEAMC - LIQUID","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","19621"
"17616","PSUBANKADD","DSPAMC - DSPPSBKETF","EQ","1.0000","1","ETF","E","NSE","81.2100","54.1400","","","88194"
"17576","PVTBANKADD","DSPAMC - DSPPVBKETF","EQ","1.0000","1","ETF","E","NSE","32.0600","21.3700","","","2465217"
"17613","SENSEXADD","DSPAMC - DSPSENXETF","EQ","1.0000","1","ETF","E","NSE","102.3000","68.2000","","","31312"
"18279","HDFCLIQUID","HDFCAMC - HDFCLIQUID","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","7718"
"18347","NIFMID150","UTIAMC - NIFMID150","EQ","1.0000","1","ETF","E","NSE","268.5100","179.0000","","","9379"
"18668","NAVINIFTY","NAVIAMC - NAVINIFTY","EQ","1.0000","1","ETF","E","NSE","312.6200","208.4100","","","9560"
"10511","UTINIFTETF","UTI Nifty ETF","EQ","1.0000","1","ETF","E","NSE","336.0400","224.0300","","","354327"
"19237","MONIFTY500","MOTILALAMC - MONIFTY500","EQ","1.0000","1","ETF","E","NSE","29.3100","19.5400","","","990808"
"19224","SENSEXETF","MIRAEAMC - SENSEXETF","EQ","1.0000","1","ETF","E","NSE","102.2800","68.1900","","","43984"
"10633","HDFCNIF100","HDFCAMC - HDFCNIF100","EQ","1.0000","1","ETF","E","NSE","32.8600","21.9100","","","624150"
"14236","HDFCMID150","HDFCAMC - HDFCMID150","EQ","1.0000","1","ETF","E","NSE","26.9200","17.9500","","","1477639"
"11538","HDFCMOMENT","HDFCAMC - HDFCMOMENT","EQ","1.0000","1","ETF","E","NSE","45.3700","30.2400","","","935657"
"10619","HDFCNEXT50","HDFCAMC - HDFCNEXT50","EQ","1.0000","1","ETF","E","NSE","93.3300","62.2200","","","437291"
"11547","HDFCLOWVOL","HDFCAMC - HDFCLOWVOL","EQ","1.0000","1","ETF","E","NSE","26.0100","17.3400","","","576312"
"19640","ALPHAETF","MIRAEAMC - ALPHAETF","EQ","1.0000","1","ETF","E","NSE","34.6400","23.0900","","","3469379"
"19633","ITETF","MIRAEAMC - ITETF","EQ","1.0000","1","ETF","E","NSE","51.2000","34.1300","","","949108"
"19705","LIQUIDSBI","SBIAMC - LIQUIDSBI","EQ","1.0000","1","ETF","E","NSE","1200.0000","800.0000","","","39756"
"19933","EGOLD","EDELAMC - EGOLD","EQ","5.0000","1","ETF","E","NSE","91.9500","61.3500","","","279507"
"20257","ESILVER","EDELAMC - ESILVER","EQ","1.0000","1","ETF","E","NSE","109.5800","73.0500","","","238612"
"544043","BBNPPGOLD","BARODA BNP PARIBAS MUTUAL FUND","E","1.0000","1","ETF","E","BSE","89.0200","59.3500","","","-1"
"20547","BBNPPGOLD","BARODABNP - BBNPPGOLD","EQ","5.0000","1","ETF","E","NSE","89.0000","59.4000","","","316512"
"21428","TATSILV","TATAAML-TATSILV","EQ","1.0000","1","ETF","E","NSE","10.6400","7.0900","","","3696807"
"21401","TATAGOLD","TATAAML-TATAGOLD","EQ","1.0000","1","ETF","E","NSE","8.8900","5.9200","","","8365613"
"21750","LIQUIDCASE","ZERODHAAMC - LIQUIDCASE","EQ","1.0000","1","ETF","E","NSE","125.4900","83.6600","","","956836"
"21986","BANKBETF","BFAM - BANKBETF","EQ","1.0000","1","ETF","E","NSE","63.9900","42.6600","","","1836516"
"21959","NIFTYBETF","BFAM - NIFTYBETF","EQ","1.0000","1","ETF","E","NSE","312.1400","208.0900","","","207992"
"22488","NIFITETF","UTIAMC - NIFITETF","EQ","1.0000","1","ETF","E","NSE","508.1400","338.7600","","","4490"
"22524","NIF10GETF","UTIAMC - NIF10GETF","EQ","1.0000","1","ETF","E","NSE","29.0500","19.3600","","","16143"
"22521","NIF5GETF","UTIAMC - NIF5GETF","EQ","1.0000","1","ETF","E","NSE","70.1800","46.7900","","","4692"
"11593","HDFCSENSEX","HDFCSENSEX","EQ","1.0000","1","ETF","E","NSE","112.4400","74.9600","","","1056212"
"12101","HDFCNIFIT","HDFCAMC - HDFCNIFIT","EQ","1.0000","1","ETF","E","NSE","51.6900","34.4600","","","1113325"
"22433","HDFCNIFBAN","HDFCNIFBAN","EQ","1.0000","1","ETF","E","NSE","64.8300","43.2200","","","1811745"
"12108","HDFCPVTBAN","HDFCAMC - HDFCPVTBAN","EQ","1.0000","1","ETF","E","NSE","32.1800","21.4500","","","3640181"
"22592","HEALTHADD","DSPAMC - HEALTHADD","EQ","1.0000","1","ETF","E","NSE","177.5800","118.3900","","","24029"
"22595","HDFCPSUBK","HDFCAMC HDFCPSUBK","EQ","1.0000","1","ETF","E","NSE","81.5200","54.3500","","","135455"
